Computer Name,IP Number,Service Tag,MAC Number,Processor,Speed (GHz),Memory (GB),Drive 1 (GB),Drive 2 (GB),Drive 3 (GB)
galileo.astrophys.pnw.edu,10.200.207.1,1L3W382,64:00:6A:83:CA:CB,I7-6700,3.4,16,931.5,232.9,
tycho.astrophys.pnw.edu,10.200.207.2,4CYFHL2,50:9A:4C:5A:1A:8F,I7-6700,3.4,16,465.8,465.8,
kepler.astrophys.pnw.edu,10.200.207.3,JP3XT52,64:00:6A:56:4A:EE,I7-4790,3.6,16,232.9,465.8,
copernicus.astrophys.pnw.edu,10.200.207.4,9P6XQ22,98:90:96:A4:2F:0E,I7-4790,3.6,16,232.9,465.8,
einstein.astrophys.pnw.edu,10.200.207.5,JP3LT52,64:00:6A:56:4D:5E,I7-4790,3.6,16,232.9,465.8,
hawking.astrophys.pnw.edu,10.200.207.6,JP3PT52,64:00:6A:55:FF:FC,I7-4790,3.6,16,232.9,465.8,
hubble.astrophys.pnw.edu,10.200.207.7,5H4GQ22,34:17:EB:DA:30:F0,I7-4790,3.6,16,111.8,465.8,
huygens.astrophys.pnw.edu,10.200.207.8,6QH08X2,6C:2B:59:F8:84:8A,I5-8500,3,16,1843.2,238.5,
messier.astrophys.pnw.edu,10.200.207.9,6QGZ7X2,6C:2B:59:F8:87:5E,I5-8500,3,16,1843.2,238.5,
penrose.astrophys.pnw.edu,10.200.207.10,2J0QQ22,98:90:96:A6:92:DA,I7-4790,3.6,16,465.8,232.9,
ptolemy.astrophys.pnw.edu,10.200.207.11,BSG8JB2,18:66:DA:13:76:91,I7-6700,3.4,16,465.8,,
guth.astrophys.pnw.edu,10.200.207.12,4CYQXK2,50:9A:4C:5A:1B:6C,I7-6700,3.4,16,931.5,238.5,
chandrasekhar.astrophys.pnw.edu,10.200.207.13,BSG6JB2,18:66:DA:13:7D:CE,I7-6700,3.4,16,465.8,232.9,
tolman.astrophys.pnw.edu,10.200.207.14,14QCHL2,50:9A:4C:5A:18:EE,I7-6700,3.4,16,931.5,465.8,
bondi.astrophys.pnw.edu,10.200.207.15,BSGCJB2,18:66:DA:08:DF:89,I7-6700,3.4,16,465.8,232.9,
rindler.astrophys.pnw.edu,10.200.207.16,CV9YLN2,DB:9E:F3:36:E9:4D,I5-7500,3.4,16,931.5,,
hertzsprung.astrophys.pnw.edu,10.200.207.17,966BHB2,64:00:6A:95:AA:3A,I7-6700,3.4,16,465.8,232.9,
russell.astrophys.pnw.edu,10.200.207.18,HC7DGB2,64:00:6A:8D:2C:3E,I7-6700,3.4,16,465.8,232.9,
friedmann.astrophys.pnw.edu,10.200.207.19,HC6JGB2,64:00:6A:8C:C7:51,I7-6700,3.4,16,465.8,232.9,
robertson.astrophys.pnw.edu,10.200.207.20,HC7FGB2,64:00:6A:8D:36:76,I7-6700,3.4,16,465.8,232.9,
walker.astrophys.pnw.edu,10.200.207.21,HC6HGB2,64:00:6A:8C:BF:F8,I7-6700,3.4,16,476.9,465.8,
lemaitre.astrophys.pnw.edu,10.200.207.22,F5K0H03,E4:54:E8:85:0D:6E,I7-8700,3.2,16,167.7,232.9,
peebles.astrophys.pnw.edu,10.200.207.23,4CYDHL2,50:9A:4C:5A:25:CB,I7-6700,3.4,16,465.8,465.8,
fenyves.astrophys.pnw.edu,10.200.207.24,JYYWLN2,D8:9E:F3:42:6E:B1,I7-7700,3.6,16,465.8,476.9,
lorentz.astrophys.pnw.edu,10.200.207.25,CV9Q9N2,D8:9E:F3:36:E7:57,I5-7500,3.4,16,465.8,465.8,
,,,,,,,,,
gateway,10.200.207.62,,,,,,,,
,,,,,,,,,
newton.pnw.edu,205.215.107.248,9Q05S52,98:90:96:e1:7d:3f,I7-4790,3.6,16,232.9,2764.8,2764.8
,,,,,,,,,
nameserver 1,205.215.126.28,,,,,,,,
nameserver 2,205.215.126.30,,,,,,,,
